Team 1,Team 2,Round,Time,Venue,Notes
Team Alpha,Team Beta,Group A,9:00 AM,Gaming Arena,FC26 Tournament
Team Gamma,Team Delta,Group A,10:00 AM,Gaming Arena,FC26 Tournament
Team Epsilon,Team Zeta,Group B,11:00 AM,Gaming Arena,FC26 Tournament
Team Eta,Team Theta,Group B,12:00 PM,Gaming Arena,FC26 Tournament
,,Quarter Final 1,2:00 PM,Gaming Arena,
,,Quarter Final 2,3:00 PM,Gaming Arena,
,,Quarter Final 3,4:00 PM,Gaming Arena,
,,Quarter Final 4,5:00 PM,Gaming Arena,
,,Semifinal 1,9:00 AM,Gaming Arena,
,,Semifinal 2,10:00 AM,Gaming Arena,
,,3rd-4th Placing,11:00 AM,Gaming Arena,Bronze medal match
,,Final,12:00 PM,Gaming Arena,Championship match
