Player 1,Player 2,Round,Time,Venue,Notes
Player 1,Player 2,Round of 16 - Match 1,9:00 AM,Hall A,
Player 3,Player 4,Round of 16 - Match 2,9:30 AM,Hall A,
Player 5,Player 6,Round of 16 - Match 3,10:00 AM,Hall A,
Player 7,Player 8,Round of 16 - Match 4,10:30 AM,Hall A,
Player 9,Player 10,Round of 16 - Match 5,11:00 AM,Hall A,
Player 11,Player 12,Round of 16 - Match 6,11:30 AM,Hall A,
Player 13,Player 14,Round of 16 - Match 7,12:00 PM,Hall A,
Player 15,Player 16,Round of 16 - Match 8,12:30 PM,Hall A,
,,Quarter Final 1,2:00 PM,Hall A,
,,Quarter Final 2,2:30 PM,Hall A,
,,Quarter Final 3,3:00 PM,Hall A,
,,Quarter Final 4,3:30 PM,Hall A,
,,Semifinal 1,4:00 PM,Hall A,
,,Semifinal 2,4:30 PM,Hall A,
,,3rd-4th Placing,5:00 PM,Hall A,Bronze medal match
,,Final,5:30 PM,Hall A,Championship match
